XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       220.032      227.793      227.707
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4109.812      28.022
   0.1953          4280.830      29.066
   0.2953          4263.067      29.269
   0.3953          4151.064      28.696
   0.4953          3835.415      27.382
   0.5953          3457.454      25.789
   0.6953          3043.904      24.130
   0.7953          2614.817      22.424
   0.8953          2262.698      20.791
   0.9953          1934.505      19.273
   1.0953          1603.612      17.493
   1.1953          1338.613      15.951
   1.2953          1057.399      14.203
   1.3953           783.153      12.211
   1.4953           554.135      10.265
   1.5953           424.363       8.960
   1.6953           361.004       8.308
   1.7953           334.720       7.994
   1.8953           323.474       7.829
   1.9953           316.197       7.744
   2.0953           296.762       7.523
   2.1953           291.194       7.447
   2.2953           299.224       7.525
   2.3953           290.605       7.429
   2.4953           284.985       7.388
   2.5953           271.198       7.134
   2.6953           271.478       7.232
   2.7953           249.523       6.881
   2.8953           248.470       6.894
   2.9953           238.613       6.749
   3.0953           249.271       6.911
   3.1953           226.346       6.581
   3.2953           234.753       6.694
   3.3953           231.631       6.709
   3.4953           245.694       7.006
   3.5953           230.130       6.777
   3.6953           239.322       6.829
   3.7953           259.433       7.066
   3.8953           266.162       7.139
   3.9953           290.075       7.457
   4.0953           306.437       7.623
   4.1953           350.419       8.225
   4.2953           379.936       8.487
   4.3953           426.608       8.996
   4.4953           485.192       9.589
   4.5953           551.358      10.278
   4.6953           578.648      10.442
   4.7953           631.812      10.947
   4.8953           668.145      11.263
   4.9953           683.334      11.422
   5.0953           685.071      11.383
   5.1953           700.243      11.506
   5.2953           695.402      11.521
   5.3953           695.799      11.489
   5.4953           694.688      11.455
   5.5953           693.324      11.481
   5.6953           684.430      11.420
   5.7953           682.674      11.413
   5.8953           688.264      11.386
   5.9953           697.024      11.566
   6.0953           681.055      11.402
   6.1953           690.180      11.509
   6.2953           687.440      11.454
   6.3953           669.016      11.296
   6.4953           672.294      11.390
   6.5953           664.755      11.296
   6.6953           676.962      11.615
   6.7953           632.377      11.235
   6.8953           653.120      11.271
   6.9953           628.701      10.939
   7.0953           639.418      11.044
   7.1953           656.174      11.222
   7.2953           644.653      11.043
   7.3953           644.671      11.115
   7.4953           625.768      10.906
   7.5953           638.174      10.988
   7.6953           613.886      10.783
   7.7953           594.446      10.618
   7.8953           605.373      10.702
   7.9953           617.022      10.757
   8.0953           606.665      10.753
   8.1953           605.060      10.691
   8.2953           583.125      10.490
   8.3953           596.380      10.618
   8.4953           594.241      10.611
   8.5953           592.187      10.565
   8.6953           605.985      10.687
   8.7953           577.636      10.434
   8.8953           560.711      10.294
   8.9953           580.704      10.475
   9.0953           572.699      10.392
   9.1953           573.209      10.439
   9.2953           579.350      10.494
   9.3953           566.144      10.319
   9.4953           559.077      10.330
   9.5953           559.790      10.305
   9.6953           543.512      10.174
   9.7953           544.125      10.276
   9.8953           570.997      10.658
   9.9953           550.253      10.449
  10.0953           553.353      10.320
  10.1953           555.837      10.270
  10.2953           554.129      10.270
  10.3953           537.599      10.088
  10.4953           545.209      10.151
  10.5953           536.137      10.046
  10.6953           560.011      10.305
  10.7953           532.177       9.969
  10.8953           547.093      10.126
  10.9953           522.769       9.895
  11.0953           554.430      10.112
  11.1953           541.738      10.053
  11.2953           525.879      10.495
  11.3953           535.813       9.822
  11.4953           524.300       9.861
  11.5953           512.306       9.766
  11.6953           513.769       9.846
  11.7953           520.092       9.871
  11.8953           529.692       9.976
  11.9953           519.163       9.871
  12.0953           535.007      10.052
  12.1953           516.377       9.849
  12.2953           526.476       9.921
  12.3953           500.166       9.759
  12.4953           520.124       9.911
  12.5953           519.438       9.891
  12.6953           509.957       9.816
  12.7953           523.292      10.008
  12.8953           499.530       9.667
  12.9953           499.642       9.782
  13.0953           521.037      10.300
  13.1953           520.454       9.837
  13.2953           523.227      10.208
  13.3953           503.964       9.775
  13.4953           513.587       9.897
  13.5953           500.572       9.698
  13.6953           514.871       9.903
  13.7953           500.131       9.683
  13.8953           502.207       9.780
  13.9953           524.411       9.880
  14.0953           519.099       9.950
  14.1953           514.812       9.726
  14.2953           502.426       9.784
  14.3953           499.425       9.658
  14.4953           515.905       9.841
