XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       53.1720      52.0600      52.1020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4154.193      28.249
   0.1953          4287.576      29.167
   0.2953          4278.308      29.400
   0.3953          4201.901      28.950
   0.4953          3915.378      27.741
   0.5953          3476.012      25.928
   0.6953          3090.800      24.381
   0.7953          2677.143      22.751
   0.8953          2282.653      20.939
   0.9953          1956.774      19.436
   1.0953          1665.073      17.873
   1.1953          1326.378      15.920
   1.2953          1053.542      14.215
   1.3953           800.230      12.377
   1.4953           558.862      10.337
   1.5953           426.474       9.007
   1.6953           383.927       8.591
   1.7953           370.919       8.439
   1.8953           330.375       7.934
   1.9953           304.936       7.626
   2.0953           297.220       7.549
   2.1953           294.881       7.514
   2.2953           284.091       7.352
   2.3953           277.467       7.279
   2.4953           273.042       7.251
   2.5953           258.129       6.979
   2.6953           270.430       7.238
   2.7953           253.549       6.955
   2.8953           248.470       6.913
   2.9953           257.770       7.034
   3.0953           246.960       6.897
   3.1953           239.125       6.782
   3.2953           233.722       6.697
   3.3953           230.150       6.706
   3.4953           233.760       6.852
   3.5953           250.258       7.087
   3.6953           245.130       6.931
   3.7953           262.001       7.120
   3.8953           252.963       6.978
   3.9953           282.968       7.385
   4.0953           315.730       7.759
   4.1953           354.262       8.293
   4.2953           377.038       8.478
   4.3953           435.981       9.119
   4.4953           474.098       9.505
   4.5953           525.060      10.056
   4.6953           585.197      10.529
   4.7953           633.712      10.993
   4.8953           637.779      11.034
   4.9953           684.544      11.463
   5.0953           681.558      11.385
   5.1953           664.684      11.240
   5.2953           691.494      11.520
   5.3953           691.751      11.486
   5.4953           688.198      11.432
   5.5953           664.772      11.272
   5.6953           697.915      11.563
   5.7953           667.763      11.318
   5.8953           677.979      11.331
   5.9953           678.030      11.438
   6.0953           693.963      11.540
   6.1953           688.132      11.523
   6.2953           702.685      11.612
   6.3953           661.712      11.264
   6.4953           671.282      11.412
   6.5953           661.024      11.295
   6.6953           673.217      11.614
   6.7953           647.250      11.397
   6.8953           658.618      11.349
   6.9953           654.126      11.189
   7.0953           638.857      11.069
   7.1953           655.486      11.246
   7.2953           618.091      10.842
   7.3953           644.890      11.147
   7.4953           630.882      10.981
   7.5953           641.254      11.045
   7.6953           615.501      10.827
   7.7953           623.423      10.904
   7.8953           628.063      10.930
   7.9953           614.521      10.765
   8.0953           603.821      10.757
   8.1953           610.811      10.771
   8.2953           605.836      10.722
   8.3953           609.500      10.763
   8.4953           594.795      10.645
   8.5953           602.412      10.684
   8.6953           609.461      10.747
   8.7953           610.906      10.759
   8.8953           598.535      10.664
   8.9953           618.634      10.842
   9.0953           606.909      10.727
   9.1953           617.620      10.866
   9.2953           610.976      10.806
   9.3953           593.428      10.594
   9.4953           598.392      10.716
   9.5953           598.885      10.688
   9.6953           586.108      10.594
   9.7953           565.422      10.503
   9.8953           587.901      10.844
   9.9953           597.145      10.915
  10.0953           590.424      10.689
  10.1953           588.244      10.594
  10.2953           590.830      10.634
  10.3953           567.359      10.391
  10.4953           582.759      10.523
  10.5953           576.534      10.446
  10.6953           575.446      10.475
  10.7953           570.934      10.353
  10.8953           549.494      10.176
  10.9953           577.788      10.431
  11.0953           542.411      10.029
  11.1953           549.367      10.151
  11.2953           562.857      10.887
  11.3953           543.608       9.920
  11.4953           542.439      10.057
  11.5953           539.050      10.045
  11.6953           526.613       9.995
