XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       52.3450      51.0650      51.1020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4066.526      27.949
   0.1953          4329.173      29.308
   0.2953          4299.046      29.471
   0.3953          4207.614      28.969
   0.4953          3951.085      27.867
   0.5953          3509.414      26.052
   0.6953          3035.742      24.163
   0.7953          2686.185      22.789
   0.8953          2297.213      21.006
   0.9953          1947.088      19.388
   1.0953          1614.968      17.602
   1.1953          1335.912      15.977
   1.2953          1063.307      14.281
   1.3953           765.175      12.103
   1.4953           560.000      10.347
   1.5953           433.889       9.085
   1.6953           371.419       8.450
   1.7953           344.021       8.127
   1.8953           323.507       7.851
   1.9953           306.458       7.645
   2.0953           295.104       7.522
   2.1953           284.146       7.376
   2.2953           293.035       7.467
   2.3953           275.934       7.259
   2.4953           273.808       7.261
   2.5953           263.790       7.055
   2.6953           256.856       7.054
   2.7953           249.918       6.905
   2.8953           239.421       6.785
   2.9953           243.744       6.840
   3.0953           240.015       6.800
   3.1953           231.612       6.675
   3.2953           228.149       6.616
   3.3953           245.593       6.927
   3.4953           228.933       6.780
   3.5953           226.956       6.749
   3.6953           250.224       7.002
   3.7953           266.838       7.186
   3.8953           278.197       7.318
   3.9953           286.049       7.425
   4.0953           298.937       7.549
   4.1953           326.482       7.961
   4.2953           385.423       8.571
   4.3953           420.328       8.953
   4.4953           464.559       9.409
   4.5953           527.942      10.084
   4.6953           567.942      10.373
   4.7953           628.551      10.948
   4.8953           639.105      11.045
   4.9953           685.876      11.474
   5.0953           692.199      11.473
   5.1953           667.715      11.266
   5.2953           684.572      11.462
   5.3953           684.109      11.422
   5.4953           685.527      11.410
   5.5953           688.660      11.473
   5.6953           691.388      11.509
   5.7953           673.317      11.365
   5.8953           674.937      11.306
   5.9953           674.737      11.410
   6.0953           647.880      11.150
