TOF	d space	q space	yint	ycal	bg	delta	err
1501.000000	1.491686e-01	4.212138e+01	6.788600e-02	0.000000e+00	0.000000e+00	6.788600e-02	7.660000e-03
1503.000000	1.493676e-01	4.206526e+01	6.670000e-02	0.000000e+00	0.000000e+00	6.670000e-02	7.730000e-03
1505.000000	1.495666e-01	4.200929e+01	7.464900e-02	0.000000e+00	0.000000e+00	7.464900e-02	7.877000e-03
1507.000000	1.497656e-01	4.195347e+01	6.359700e-02	0.000000e+00	0.000000e+00	6.359700e-02	7.639000e-03
1509.000000	1.499646e-01	4.189779e+01	6.057200e-02	0.000000e+00	0.000000e+00	6.057200e-02	7.502000e-03
1511.000000	1.501636e-01	4.184227e+01	7.492900e-02	0.000000e+00	0.000000e+00	7.492900e-02	7.823000e-03
1513.000000	1.503626e-01	4.178689e+01	8.165500e-02	0.000000e+00	0.000000e+00	8.165500e-02	7.990000e-03
1515.000000	1.505616e-01	4.173166e+01	9.171000e-02	0.000000e+00	0.000000e+00	9.171000e-02	8.115000e-03
1517.000000	1.507606e-01	4.167657e+01	6.599200e-02	0.000000e+00	0.000000e+00	6.599200e-02	7.752000e-03
1519.000000	1.509596e-01	4.162163e+01	7.121900e-02	0.000000e+00	0.000000e+00	7.121900e-02	7.710000e-03
1521.000000	1.511586e-01	4.156683e+01	6.320900e-02	0.000000e+00	0.000000e+00	6.320900e-02	7.568000e-03
1523.000000	1.513576e-01	4.151218e+01	6.357800e-02	0.000000e+00	0.000000e+00	6.357800e-02	7.517000e-03
1525.000000	1.515566e-01	4.145767e+01	6.298100e-02	0.000000e+00	0.000000e+00	6.298100e-02	7.448000e-03
1527.000000	1.517557e-01	4.140330e+01	7.845500e-02	0.000000e+00	0.000000e+00	7.845500e-02	7.944000e-03
1529.000000	1.519547e-01	4.134908e+01	5.781000e-02	0.000000e+00	0.000000e+00	5.781000e-02	7.383000e-03
1531.000000	1.521537e-01	4.129500e+01	6.317200e-02	0.000000e+00	0.000000e+00	6.317200e-02	7.457000e-03
1533.000000	1.523527e-01	4.124106e+01	6.614000e-02	0.000000e+00	0.000000e+00	6.614000e-02	7.598000e-03
1535.000000	1.525517e-01	4.118726e+01	6.614200e-02	0.000000e+00	0.000000e+00	6.614200e-02	7.663000e-03
1537.000000	1.527507e-01	4.113360e+01	5.609500e-02	0.000000e+00	0.000000e+00	5.609500e-02	7.412000e-03
1539.000000	1.529497e-01	4.108008e+01	7.827600e-02	0.000000e+00	0.000000e+00	7.827600e-02	7.858000e-03
1541.000000	1.531487e-01	4.102670e+01	6.253700e-02	0.000000e+00	0.000000e+00	6.253700e-02	7.433000e-03
1543.000000	1.533477e-01	4.097345e+01	8.136200e-02	0.000000e+00	0.000000e+00	8.136200e-02	7.924000e-03
1545.000000	1.535467e-01	4.092035e+01	5.086300e-02	0.000000e+00	0.000000e+00	5.086300e-02	7.184000e-03
1547.000000	1.537457e-01	4.086738e+01	9.138000e-02	0.000000e+00	0.000000e+00	9.138000e-02	8.106000e-03
1549.000000	1.539447e-01	4.081455e+01	6.260200e-02	0.000000e+00	0.000000e+00	6.260200e-02	7.610000e-03
1551.000000	1.541437e-01	4.076186e+01	7.325700e-02	0.000000e+00	0.000000e+00	7.325700e-02	7.645000e-03
1553.000000	1.543427e-01	4.070930e+01	6.308900e-02	0.000000e+00	0.000000e+00	6.308900e-02	7.398000e-03
1555.000000	1.545418e-01	4.065688e+01	6.556700e-02	0.000000e+00	0.000000e+00	6.556700e-02	7.549000e-03
1557.000000	1.547408e-01	4.060459e+01	7.736000e-02	0.000000e+00	0.000000e+00	7.736000e-02	7.802000e-03
1559.000000	1.549398e-01	4.055244e+01	6.977900e-02	0.000000e+00	0.000000e+00	6.977900e-02	7.645000e-03
1561.000000	1.551388e-01	4.050042e+01	7.303900e-02	0.000000e+00	0.000000e+00	7.303900e-02	7.679000e-03
1563.000000	1.553378e-01	4.044853e+01	8.445600e-02	0.000000e+00	0.000000e+00	8.445600e-02	7.869000e-03
1565.000000	1.555368e-01	4.039678e+01	5.948100e-02	0.000000e+00	0.000000e+00	5.948100e-02	7.303000e-03
1567.000000	1.557358e-01	4.034516e+01	6.847600e-02	0.000000e+00	0.000000e+00	6.847600e-02	7.478000e-03
1569.000000	1.559348e-01	4.029367e+01	5.748400e-02	0.000000e+00	0.000000e+00	5.748400e-02	7.347000e-03
1571.000000	1.561338e-01	4.024231e+01	8.083100e-02	0.000000e+00	0.000000e+00	8.083100e-02	7.819000e-03
1573.000000	1.563328e-01	4.019108e+01	7.498400e-02	0.000000e+00	0.000000e+00	7.498400e-02	7.651000e-03
